filename,count,duration(s),image
test_0.jpg,135,15.36,/static/annotated/annotated_test_0.jpg
test_1.jpg,128,0.18,/static/annotated/annotated_test_1.jpg
test_2.jpg,122,0.11,/static/annotated/annotated_test_2.jpg
test_3.jpg,80,0.19,/static/annotated/annotated_test_3.jpg
test_5.jpg,207,0.23,/static/annotated/annotated_test_5.jpg
test_6.jpg,177,12.42,/static/annotated/annotated_test_6.jpg
test_7.jpg,166,0.21,/static/annotated/annotated_test_7.jpg
test_8.jpg,95,23.03,/static/annotated/annotated_test_8.jpg
test_9.jpg,119,0.21,/static/annotated/annotated_test_9.jpg
test_10.jpg,116,0.32,/static/annotated/annotated_test_10.jpg
test_11.jpg,133,15.30,/static/annotated/annotated_test_11.jpg
test_12.jpg,185,0.22,/static/annotated/annotated_test_12.jpg
test_13.jpg,100,0.32,/static/annotated/annotated_test_13.jpg
test_14.jpg,117,4.25,/static/annotated/annotated_test_14.jpg
test_15.jpg,109,17.22,/static/annotated/annotated_test_15.jpg
test_16.jpg,158,16.26,/static/annotated/annotated_test_16.jpg
test_17.jpg,185,0.18,/static/annotated/annotated_test_17.jpg
test_18.jpg,117,0.25,/static/annotated/annotated_test_18.jpg
test_19.jpg,151,0.25,/static/annotated/annotated_test_19.jpg
test_20.jpg,135,0.23,/static/annotated/annotated_test_20.jpg
test_20.jpg,135,0.19,/static/annotated/annotated_test_20.jpg
test_21.jpg,91,0.19,/static/annotated/annotated_test_21.jpg
test_22.jpg,62,0.16,/static/annotated/annotated_test_22.jpg
